Event,Foxell,Holman,Newman,Pearson,Rayner,Thorne
New Term,Autumn Term,,,,,
Y9/10 Humanities,5,2,1,3,6,4
Y7/8 Humanities,5,1,4,6,3,2
Y9 Challoner's Speaks,4,6,1,5,2,3
Y10 Challoner's Speaks,5,4,2,1,3,6
Y8 Challoner's Speaks,5,3,6,4,2,1
Y7 Challoner's Speaks,6,1,4,5,2,3
Y9/10 Team Maths,5,3,6,3,1,2
Y7/8 Team Maths,3,2,4,6,1,5
New Term,Spring Term,,,,,
Y12 Football,5,3,6,2,1,4
Y7 Grand Draw,2,4,3,6,5,1
Y8/9 Grand Draw,1,4,6,5,2,2
Y10/11 Grand Draw,3,1,4,5,2,6
Sixth Form Darts,3,1,4,5,2,6
Y11 Darts,4,5,1,6,2,3
Y10 Darts,5,3,4,2,6,1
House Drama 1,2,1,4,6,3,5
House Drama 2,2,1,4,6,3,5
Y9A Football,1,6,4,5,2,3
Y9B Football,1,4,5,6,2,3
Y7A Football,6,2,3,4,5,1
Y7B Football,5,6,2,4,3,1
Y8A Football,2,4,1,5,6,3
Y8B Football,1,2,3,6,5,3
Y10 Football,6,3,4,1,2,5
Y11 Football,2,3,4,1,4,6
Y8 Orienteering,3,6,1,4,2,5
Y7 Orienteering,1,5,2,6,4,3
Y11 Badminton,1,4,3,2,6,5
Y10 Badminton,3,4,4,X,1,2
Y9 Badminton,3,4,6,5,1,2
Y7 Badminton,2,1,6,5,4,3
Y8 Badminton,3,4,2,5,1,6
Sailing,1,2,6,4,5,3
Y9 Cross Country,1,5,6,3,2,4
Y8 Cross Country,1,4,3,5,6,2
Y7 Cross Country,6,3,2,4,5,1
Y10/11 Cross country,3,1,5,4,6,2
